anchor_text,positive_text,negative_text,similarity_score
The entity shall disclose the top products manufactured or services provided by the listed entity that account for 90% of its turnover,Infosys Cobalt suite of cloud services forms the majority of our enterprise offerings,Infosys Hyderabad campus rainwater harvesting,0.86
Supply products or services that contribute to the organization’s own products or services,Infosys Cobalt accelerates client cloud journeys with internal integration capabilities,Infosys waste segregation bins color coded,0.82
Receive products or services from the organization,Clients receive Infosys services across digital transformation AI and cloud modernization,Infosys recycled water use in STPs,0.79
Overview of the entity’s material responsible 1,Infosys ESG Data Book defines material environmental topics including energy water and waste,Infosys cultural programs under CSR,0.83
Risk arising from climate change can include impact on operations worker health demand for products or services,Infosys TCFD report covers transition and physical climate risks on operations and workforce,Infosys Foundation education grants,0.91
Climate change opportunities can include cost savings through resource efficiency and access to new markets,Infosys energy efficiency and green buildings yield long term cost benefits and client solutions,Infosys rural literacy program,0.88
Rationale for identifying the risk which may include a description of the impact associated with the risk or opportunity,Infosys materiality matrix explains climate risk rationale and potential operational impacts,Infosys skill development programs,0.84
In case of identified risks approach to mitigate or adapt to the risk,Infosys mitigation includes renewable energy adoption and Scope 3 reduction programs,Infosys volunteer engagement metrics,0.89
Indicate the positive and negative impact of such risk or opportunity on financials of the company,Infosys disclosure links GHG reduction to reduced energy costs and reputational gains,Infosys inclusion campaign,0.83
Processes in place to reclaim products for reuse recycle and safe disposal of products at the end of life,Infosys promotes circular economy solutions and manages e waste through certified recyclers,Infosys Springboard digital learning,0.87
Reclaimed items can include products and packaging collected by or on behalf of the organization,Infosys collects obsolete IT equipment and packaging for recycling through authorized vendors,Infosys mental health awareness sessions,0.85
Preparation for reuse means checking cleaning or repairing operations,Infosys refurbishes IT equipment before disposal to extend product life,Infosys inclusive hiring programs,0.8
Recycling refers to reprocessing of products or components to make new materials,Infosys ensures e waste recycling through buyback schemes and vendor audits,Infosys financial literacy sessions,0.9
Disposal refers to any operation which is not recovery,Infosys disposes hazardous waste via authorized treatment and landfill agencies,Infosys inclusive workplace commitments,0.84
Safe disposal excludes uncontrolled waste disposal or open burning,Infosys follows CPCB guidelines for biomedical and hazardous waste incineration,Infosys career mentoring initiatives,0.83
Extended Producer Responsibility EPR plan,Infosys implements extended responsibility by ensuring vendor compliance for material recovery,Infosys hackathon mentoring program,0.81
Product Life Cycle refers to all the stages of a product from extraction to disposal,Infosys Life Cycle Assessment applied in green building design to minimize carbon footprint,Infosys heritage digital archive,0.89
Life cycle assessment involves assessing potential environmental impacts of a product or service,Infosys conducts building LCAs to guide material selection and design efficiency,Infosys CSR volunteer database,0.91
Boundary of LCA refers to the scope for which assessment was conducted,Infosys LCAs consider cradle to grave boundaries for campus construction,Infosys wellness webinars,0.86
Recycled or reused input material as percentage of total input material,Infosys reports recycled construction and office materials usage across projects,Infosys leadership pipeline,0.8
Reclaimed products and their packaging materials as percentage of products sold,Infosys records e waste collection and recycling percentages annually,Infosys tech blog publication,0.82
Details of total energy consumption and energy intensity,Infosys consumed 199.66 million kWh globally with energy intensity 10.96 MWh per US million revenue,Infosys community outreach in villages,0.93
Energy can be purchased from sources external to the organization or produced by the organization itself,Infosys sources 57.9 percent renewable energy including rooftop solar and captive plants,Infosys university collaborations,0.89
Energy intensity per rupee of turnover shall be calculated as total energy consumed divided by total turnover,Infosys reports energy efficiency improvements and intensity reductions in annual ESG Databook,Infosys employee volunteer awards,0.84
Details of total water withdrawn consumed and water intensity ratio,Infosys achieved 70.84 percent water recycling and reports consumption intensity 124.9 KL per million USD,Infosys rural digital learning programs,0.92
Zero Liquid Discharge policy,Infosys campuses operate 100 percent zero liquid discharge with full wastewater recycling,Infosys diversity councils,0.95
Disclosure of air emissions,Infosys discloses Scope 1 and Scope 2 GHG emissions by source and methodology,Infosys community healthcare partnerships,0.91
Details of Scope 1 and Scope 2 greenhouse gas emissions and GHG intensity,Infosys maintains carbon neutrality across Scope 1 2 and 3 and reports emission intensity metrics,Infosys sports initiatives,0.96
Scope 1 emissions are direct GHG emissions from sources owned or controlled by the entity,Infosys DG sets and HVAC fugitive emissions managed under operational efficiency,Infosys art collaborations,0.9
Scope 2 emissions are energy indirect emissions from purchased electricity heating cooling and steam,Infosys Scope 2 emissions reduced through renewable energy and energy efficiency,Infosys internship programs,0.89
Entities may provide break up of Scope 1 and Scope 2 emissions into CO2 CH4 N2O HFCs PFCs SF6 NF3,Infosys follows SBTi aligned emission factor methodology for gas categories,Infosys mentoring academy,0.85
The entity shall report total Scope 3 emissions and methodology used,Infosys discloses Scope 3 emissions from business travel commuting and procurement using GHG Protocol,Infosys employee learning hours,0.93
Scope 3 emissions are indirect GHG emissions not included in Scope 2,Scope 3 covers upstream downstream categories including goods transport travel and waste,Infosys digital accessibility initiatives,0.88
The entity shall disclose whether it has set GHG reduction targets,Infosys targets 75 percent Scope 1 and 2 reduction and 30 percent Scope 3 reduction by FY2030,Infosys women in tech programs,0.94
Entities shall disclose progress against GHG targets,Infosys achieved 55 percent renewable energy and 70 percent water recycling progress toward net zero,Infosys education grants,0.91
Entities shall disclose use of carbon offsets or credits,Infosys offsets residual emissions using UNFCCC certified credits for carbon neutrality,Infosys volunteering initiatives,0.88
Carbon offset refers to a reduction or removal of emissions used to compensate emissions elsewhere,Infosys uses renewable energy certificates and offsets for neutrality verification,Infosys AI skilling courses,0.85
Entities shall disclose base year for emission calculations,Base year FY2020 used for emission baselines reported in ESG Databook,Infosys mental wellbeing programs,0.83
Entities shall disclose verification status of emissions data,GHG emissions verified externally by DNV as per ISO 14064 1,Infosys student hackathons,0.92
Details of renewable energy consumption and share in total energy,Renewable share 57.9 percent through onsite solar and power purchase agreements,Infosys foundation education projects,0.9
Details of total fuel consumed from renewable and non renewable sources,Fuel consumption from DG sets and biodiesel disclosed in ESG Databook,Infosys community development report,0.84
Details of renewable energy generated and purchased,Infosys generated 41.5 GWh solar power and purchased 73.2 GWh green power,Infosys CSR healthcare projects,0.89
Entities shall disclose initiatives to reduce energy consumption,Energy reduction through smart building automation and efficient cooling systems,Infosys inclusivity training,0.88
Entities shall disclose improvements in energy efficiency from technology and process innovations,Infosys green data centers and AI optimization reduce 14 percent energy use per server,Infosys arts sponsorships,0.91
Entities shall disclose initiatives for water conservation,Infosys achieves 100 percent wastewater recycling and rainwater harvesting across campuses,Infosys coding competitions,0.93
Details of water sources significantly affected by withdrawal,No water sources significantly affected due to sustainable withdrawal and recharge practices,Infosys digital art programs,0.82
Details of water discharged by destination,All treated water reused onsite remaining sent to landscaping through zero liquid discharge,Infosys training cohorts,0.84
Entities shall disclose total quantity of water recycled and reused,70.84 percent of water recycled reused reported in ESG Databook,Infosys corporate governance statements,0.9
Entities shall disclose effluents and waste generated and management approach,Effluent treated in on site STPs meeting regulatory standards waste segregated and recycled,Infosys teacher development courses,0.88
Entities shall disclose total waste generated by type and disposal method,Total waste 7293 tonnes 96 percent recycled remaining disposed via authorized vendors,Infosys open innovation labs,0.91
Entities shall disclose quantity of hazardous waste generated,50 tonnes hazardous waste disposed through authorized recyclers under CPCB guidelines,Infosys youth training partnerships,0.89
Entities shall disclose waste reused recycled and disposed,96 percent waste recycled 2 percent reused and rest disposed with audit tracking,Infosys cultural exchange programs,0.9
Entities shall disclose electronic waste generated,Infosys e waste managed through certified vendors and buyback programs,Infosys employee engagement survey,0.88
Entities shall disclose non hazardous waste generation,Non hazardous waste includes paper and packaging materials 98 percent recycled,Infosys Topaz AI media launch,0.87
Entities shall disclose waste intensity per rupee of turnover,Waste intensity 0.05 kg per USD million revenue reported,Infosys student scholarship details,0.86
Entities shall disclose initiatives to minimize waste generation,Initiatives include digitalization paperless offices reusable packaging campaigns,Infosys Smart Spaces IoT deployment,0.89
Entities shall disclose details of spills or environmental violations,No major spills or violations reported in FY23,Infosys digital skill bootcamps,0.84
Entities shall disclose air emissions of NOx SOx PM and VOCs,Air emission sources DG sets monitored quarterly within CPCB limits,Infosys alumni engagement drives,0.88
Entities shall disclose measures to reduce air emissions,Installation of low emission DG sets and renewable energy substitution implemented,Infosys AI learning accelerator,0.87
Entities shall disclose ambient air quality monitoring results,Air quality levels monitored monthly across campuses all within prescribed limits,Infosys volunteer reward scheme,0.85
