anchor_text,positive_text,negative_text,similarity_score
The entity shall disclose the total number of employees and workers along-with the associated break-up by gender male female and other categories,Total employees 343234 of which 39.4% are women,Infosys MatchBeats technology at Australian Open,0.92
The term Employee is defined under Sec 2 of the Industrial Relations Code 2020,Our disclosures define employee categories and provide headcount by status,Infosys launched Topaz AI for enterprises,0.78
The term Worker is defined under Sec 2zr of the Industrial Relations Code 2020,The report clarifies workforce composition including contractors and employment types,Infosys Springboard platform for learners,0.74
The term permanent employee refers to an employee employed full-time or part-time for an indeterminate period,We disclose permanent and other than permanent employees with turnover metrics,Infosys MatchBeats engagement technology,0.82
The term other than permanent employee refers to those employed for fixed term or through contractors,Temporary and contractual workforce details disclosed with applicability notes,Infosys launched metaverse services,0.7
Differently abled employees may be identified based on Rights of Persons with Disabilities Act 2016,We disclose 1357 employees with disclosed disabilities and accessibility programs,Infosys Wingspan learning solution for clients,0.9
The entity should provide details as at the end of the reporting period and explain significant changes,The ESG report covers fiscal 2023 and notes changes in headcount,Infosys launched ESG Radar research,0.82
The entity shall calculate turnover rate using prescribed formula,The report includes employee turnover rates and calculations,Infosys created Value Chain Navigator tool,0.8
Average number of persons employed in a category shall be calculated as beginning plus end divided by two,The ESG Databook provides methodology and headcount calculation approach,Infosys offers digital twins for clients,0.78
Persons leaving employment shall include voluntary dismissals retirements and deaths,The report clarifies attrition methodology and inclusion criteria,Infosys launched digital experience suite,0.76
Participation inclusion representation of women and differently abled persons shall be disclosed,We report 39.4% women and inclusion initiatives for differently abled employees,Infosys MatchBeats sports analytics,0.88
Measures for wellbeing of employees and workers shall be reported,We describe HALE wellness care Pulse survey and REWARD recognition programs,Infosys Topaz applied AI services,0.92
Accessibility of workplaces physical and digital shall be disclosed,We describe accessible workplaces digital inclusion and iATT training for developers,Infosys Carbon Neutral events,0.86
Return to work after parental leave and retention rates shall be reported,We report parental leave 6713 men 6976 women with 99% return rate,Infosys sustainability awards recognition,0.91
Training on health safety and skill upgradation shall be disclosed,We provide 5.5 million training days and HSE training coverage,Infosys Pathfinders Online Institute,0.88
Performance and career development reviews shall be reported,Performance management system iCount continuous feedback and career dashboards described,Infosys hosted GovHack events,0.86
Occupational health and safety management system shall be disclosed,The report outlines HSE Management System aligned to ISO 45001 and risk assessment,Infosys launched metaverse foundry,0.88
Details of safety incidents fatalities and LTIFR shall be disclosed,Safety metrics LTIFR recordable injuries and rehabilitation described,Infosys launched AI first offerings,0.84
Measures taken to ensure safe and healthy workplace shall be disclosed,We report hazard identification risk assessments and training to prevent incidents,Infosys Springboard teacher programs,0.86
Rehabilitation and suitable employment for injured employees shall be disclosed,Reintegration programs family support and HSE rehabilitation mentioned,Infosys Value Chain Navigator demo,0.72
Process for identification of key stakeholders shall be disclosed,Stakeholder mapping through materiality survey involving employees clients and suppliers,Infosys Topaz AI deployment examples,0.8
Key stakeholder groups and engagement methods shall be disclosed,We identify employees clients investors communities and describe engagement processes,Infosys MatchBeats fan analytics,0.88
Details of complaints related to working conditions shall be disclosed,No cases of discrimination or harassment reported grievance mechanism described,Infosys Wingspan enterprise learning,0.84
Remuneration and benefits gender pay gap shall be disclosed,Equal pay confirmed across levels pay equity programs implemented,Infosys launched sustainability platform,0.86
Details of employee benefits including parental leave insurance and stock options shall be disclosed,Benefits include parental leave health insurance ESOP and wellness initiatives,Infosys Smart Spaces IoT offering,0.89
Mechanisms for employee grievance redressal shall be described,Resolution hubs and People Helpline address all grievances confidentially,Infosys Carbon Neutral travel policy,0.87
Employee satisfaction surveys and feedback processes shall be disclosed,Annual Employee Pulse survey conducted to assess engagement,Infosys ESG partnerships with WEF,0.86
Percentage of employees covered by collective bargaining shall be disclosed,Not applicable as IT sector workforce is not unionized coverage explained,Infosys Cloud powered transformation projects,0.7
,,,
Health and safety training coverage shall be disclosed,We disclose mandatory HSE induction and refresher training across locations,Infosys digital acceleration offerings,0.88
Number of employees who have received safety training shall be disclosed,We report 100 percent employees and contractors trained in occupational health and safety,Infosys launched Topaz AI for business acceleration,0.88
Average hours of safety training per employee shall be disclosed,Average safety training 8.2 hours per employee disclosed in ESG Databook,Infosys Pathfinders Online Institute content update,0.84
Entities shall disclose the number of workers involved in safety committees and frequency of meetings,Safety committees meet quarterly with employee representation across all development centers,Infosys launched metaverse foundry for clients,0.86
Entities shall report whether health and safety management system is certified to ISO 45001,We confirm global HSE Management System certification to ISO 45001 standards,Infosys MatchBeats technology for sports analytics,0.9
Entities shall report total number and rate of work related injuries and fatalities,We reported zero fatalities and 0.03 lost time injury frequency rate in FY23,Infosys Smart Spaces IoT deployments,0.91
Entities shall report corrective actions taken to prevent recurrence of accidents,Root cause analysis and corrective actions tracked through HSE dashboard,Infosys Topaz generative AI product suite,0.88
Entities shall disclose safety drills and emergency preparedness activities,Regular mock drills and emergency response exercises conducted across campuses,Infosys Cloud powered automation offerings,0.86
