anchor_text,positive_text,negative_text,similarity_score
Page 1 of 33 Annexure II GUIDANCE NOTE FOR BUSINESS RESPONSIBILITY & SUSTAINABILITY REPORTING FORMAT I,This guidance note has been prepared using references from the National Guidelines for Responsible Business Conduct GRI standards and various laws,Infosys Topaz is an AI first offering to accelerate business value for global enterprises using generative AI,0.72
Inter-operability of reporting framework- Those listed entities which prepare and disclose sustainability reports based on internationally accepted reporting frameworks can cross reference disclosures to the BRSR,We continue to publish our independently assured ESG disclosures based on the GRI Standard 2021,Infosys MatchBeats technology was used to present simplified game data at the Australian Open,0.82
Inter-operability of reporting framework- entities can cross reference disclosures made under such framework to the disclosures sought under the BRSR,The ESG disclosures consist of the ESG Report 2022-23 and the ESG Data book 2022-23,Infosys hosted microbit office hours during the International Day of the Girl,0.78
Further in case the data sought is already disclosed in the annual report the listed entity can provide a cross reference to the same,The ESG disclosures consist of the ESG Report 2022-23 and the ESG Data book 2022-23,Infosys organized donation of laptops in China,0.88
Thus an entity need not disclose the same information twice in the annual report,The ESG disclosures consist of the ESG Report 2022-23 and the ESG Data book 2022-23,Infosys Metaverse Foundry is a solution combining domain and design expertise,0.80
However the entity should specifically mention the page number of the annual report or sustainability report where the information sought under the BRSR is disclosed,Our ESG Report provides information on progress on our ESG Vision 2030 commitments and references the Integrated Annual Report and ESG Databook,Infosys Springboard offers learning content and virtual practice environments,0.86
Consistency in reporting boundary The BRSR seeks disclosure of whether reporting is done on a stand alone or consolidated basis Listed entities shall ensure consistency in reporting boundary across the report,For details of our global locations visit our global presence document and our reporting covers consolidated disclosures where applicable,Infosys launched the ESG Radar 2023 survey,0.75
Applicability Some disclosures sought under the BRSR may not be applicable to certain industries In such cases entity can state not applicable with reasons,The report notes that some disclosures are industry specific and may not be applicable to an IT services company and refers to applicability notes,Infosys Green IT offerings support client sustainability,0.70
The term reporting period refers to the financial year for which BRSR is being prepared,This ESG report covers fiscal 2023 and provides period specific disclosures and baselines,Infosys has offices across six continents a global presence statement,0.72
The listed entity should endeavour to provide clear complete and concise responses The web links to relevant documents may be provided if available,The report provides links to the Integrated Annual Report ESG Databook Corporate Responsibility microsite and Foundation websites,Infosys Topaz is an AI first offering to accelerate business value for global enterprises,0.74
The information sought on complaints in the format are accompanied with a column of Remarks where entities can explain reasons for pending complaints The mechanism should be transparent and unbiased,We have a robust grievance resolution mechanism resolution hubs handling concerns in a timebound manner,Infosys published its ESG Radar survey results,0.85
The term Principles refers to Principles 1 to 9 as laid down in the National Guidelines for Responsible Business Conduct,This guidance note references NGRBCs and GRI standards and explains Principles used in reporting,Infosys developed the Value Chain Navigator tool for scope 3 emissions,0.72
In addition to disclosures sought the entity may disclose any other relevant sustainability related information at appropriate places,The report includes supplementary case studies thought leadership and partnerships such as Economist Impact and WEF engagements,Infosys provides digital services like Connected Ops on Cloud,0.70
SECTION A GENERAL DISCLOSURES Q,The ESG disclosures consist of the ESG Report 2022-23 and the ESG Data book 2022-23,Infosys MatchBeats technology used with Tennis Australia,0.71
Ref Who is subject to the Air Force Act or Army Act or the Navy Act,Not applicable to Infosys the report clarifies legal applicability by jurisdiction and refers to Companies Act definitions,Infosys published the Pathfinders Online Institute courses,0.22
Board of Directors or Board as defined under Sec 2 Of the Companies Act 2013 means the collective body of directors of the company,The composition of our Board as on March 31 2023 is provided including independent directors and categories,Infosys Springboard provides learning content for teachers,0.95
Key Management Personnel as defined under Sec 2 Of the Companies Act 2013 means CEO CFO and other KMPs,The report identifies key management personnel and links governance disclosures to the Integrated Annual Report,Infosys partnered with MOSIP to support identity platform modules,0.88
Under this field the entity shall disclose turnover rates for the specified categories,The report provides employee statistics turnover and female representation and other workforce metrics,Infosys hosts GovHack events to advance digital skills,0.74
Associate company significant influence definition The expression significant influence means control of at least twenty per cent of total voting power,The report clarifies group structure and references Companies Act definitions for associate subsidiary and holding company in governance disclosures,Infosys published ESG thought leadership via IKI,0.76
Holding company in relation to one or more other companies means a company of which such companies are subsidiary companies,The governance disclosures include group structure references and company definitions consistent with Companies Act,Infosys Carbon Neutral events description,0.75
The composition of a company's Board shall be deemed to be controlled by another company if that other company can appoint or remove a majority of the directors,The report discloses Board composition independent directors and categories and provides Board Diversity Policy reference,Infosys released the ESG Databook,0.80
Layer in relation to a holding company means its subsidiary or subsidiaries,Group and consolidation notes and reporting boundary explain subsidiaries and layers where applicable,Infosys developed Connected Ops on Cloud for clients,0.70
Grievance redressal mechanism for stakeholders Grievance Redressal Mechanism should be transparent unbiased accessible based on dialogue and mediation,We have a well established grievance resolution mechanism resolution hubs with timebound redressal and sensitivity in handling concerns,Infosys launched the ESG learning channel for suppliers,0.88
It includes entities with which the organization has a direct or indirect business relationship and which either,The Supplier Code of Conduct and supplier ESG assessments cover entities in the value chain and third party relationships,Infosys published awards recognition and rankings,0.78
The company shall make qualitative disclosures in this regard and should not include any forward looking quantitative information However previous years impact can be disclosed quantitatively,The report includes qualitative descriptions of policies goals and where applicable past year quantitative performance against targets,Infosys implemented OCR based compliance proof testing,0.74
SECTION B MANAGEMENT AND PROCESS DISCLOSURES Field Name Instruction Guidance Specific commitments goals and targets set by the entity along with performance,Our disclosures outline specific commitments under ESG Vision 2030 targets and performance achieved and timelines where applicable,Infosys offers Metaverse Foundry solutions,0.86
Under this field entity may disclose if it has any specific commitment goal or target against any of the principles Such disclosures may include baseline context entities covered expected result,The report provides baseline context timelines entities covered and progress against ESG Vision 2030 commitments,Infosys hosts tennis technology engagements,0.84
Such disclosures may include baseline and context for goals and targets Entities covered in quantitative or qualitative terms Expected timeline for achieving each goal,The ESG Vision 2030 commitments and progress section provides baselines timelines and entities covered along with KPIs,Infosys Pathfinders Online Institute hosts courses for students,0.82
Such disclosures may include whether goals are mandatory or voluntary If mandatory list relevant legislation,The report clarifies mandatory versus voluntary targets and compliance with legal requirements and standards,Infosys launched Springboard to scale digital skills,0.76
The entity shall state performance achieved against each goal or target Any change in goals timelines partial achievement or delay should be indicated with reasons,The report describes progress achieved on commitments and explains delays partial achievements and reasons where applicable,Infosys publishes the Integrated Annual Report,0.84
The entity need not strictly follow the tabular format for this disclosure The issues for each principle can be covered in running format,Our disclosures use narrative running format and tabular data in the ESG Databook for specific indicators,Infosys created the Value Chain Navigator tool,0.72
Statement by director responsible for the report The listed entity shall include a statement from the director responsible highlighting relevance of sustainability to the organization,The report includes a Director level statement and messages on ESG relevance and strategic approach within the integrated reporting suite,Infosys won DSCI Excellence Award for security practices,0.90
Such statement can include vision strategy short medium and long term strategic priorities key events achievements failures views on performance and outlook,The Director statements and executive messages cover vision strategy priorities achievements failures and outlook on challenges,Infosys provides a Command Center to collect data for carbon neutrality,0.88
The listed entity can place this disclosure at the beginning of the report or under Section B,Our Director and CFO messages are placed in the introduction and corporate overview of the ESG Report providing the required statement,Infosys hosts GovHack events,0.82
Highest authority responsible for implementation and oversight of the Business Responsibility policy The entity shall disclose the highest executive authority responsible for implementation and oversight,The report discloses that the ESG Committee reports to the Board and identifies executive sponsors and governance reporting lines,Infosys developed digital accelerators and products,0.89
Such authority could be a director of the board committee of the board senior management personnel or committee of employees The company shall disclose names and designations,The report provides names designations and categories for Board and committee chairs and references the ESG Committee charter and sponsors,Infosys launched the EPIC program for privacy by design,0.92
In case different authorities are responsible for different policies the same may be indicated,The governance section indicates when different authorities or committees oversee specific policies and cross references responsibilities,Infosys organizes carbon neutral events,0.78
Does the entity have a specified Committee of the Board or Director responsible for decision making on sustainability related issues The entity shall indicate Yes or No and provide details,The report confirms the Board instituted an ESG Committee on April 14 2021 and provides its objectives meeting frequency and reporting to the Board,Infosys published the Pathfinders Online Institute courses,0.94
If a director is responsible DIN and category shall be disclosed The entity may cross refer to question 8 if same,The Board composition page lists directors their categories and cross references the Board Diversity Policy and Integrated Annual Report,Infosys hosted the Australian Open tech engagement,0.90
Processes to avoid manage conflict of interests involving members of the Board KMPs The entity shall disclose processes to ensure conflicts are avoided or managed,The report references Codes policies training and communication including the Code of Conduct and controls to manage conflicts of interest and annual compliance programs,Infosys developed Connected Ops on Cloud for clients,0.82
The company shall indicate what proportion of OHSAS 18001 or relevant labels like Rainforest Alliance RSPO etc where applicable,Not applicable for many IT service operations the report explains applicability and industry relevance and indicates certifications where relevant,Infosys launched the ESG learning channel for suppliers,0.44
Leadership Indicators The company shall calculate the percentage of those in their value chains Essential Indicators,Infosys reports supplier ESG assessments completed for top suppliers and describes approach to sustainable procurement and supplier learning,Infosys offers Topaz AI product,0.79
PRINCIPLE 4 Businesses should respect the interests of and be responsive to all its stakeholders The listed entity shall specify channels through which stakeholders can access relevant information,The report describes multiple stakeholder engagement channels feedback mechanisms Interactive PDF links contact details and resolution hubs and regional communications,Infosys created Value Chain Navigator for emissions,0.86
If so the entity can disclose key concerns raised through stakeholder engagement and how the organization responded,The report provides examples of stakeholder concerns raised and responses including supplier assessments ESG actions and programmatic changes,Infosys published the ESG Databook,0.81
Remuneration As per Companies Act Remuneration means any money or equivalent given for services rendered Entities should disclose remuneration practices where required,The report links ESG performance to executive compensation notes that ESG goals are part of the corporate scorecard and linked to CEO and leaders compensation,Infosys Pathfinders Online Institute hosts courses,0.89
Entities may specify other sources in case the same are significant In case different standards and methodologies are used the same should be disclosed,The report discloses frameworks used GRI SASB and cross references Integrated Annual Report and methodology notes where different standards are applied,Infosys hosts micro learning and training programs,0.83
Entities should disclose contextual information necessary to understand how data has been compiled methodologies assumptions and calculation tools used,The report and ESG Databook disclose standards methodologies emission factors and calculation approaches and contextual notes for indicators,Infosys developed ESG Radar a research product,0.88
Entities should disclose standards methodologies assumptions and calculation tools used emission factors used,The ESG Databook includes methodology disclosures emission factors and assumptions used in calculations and baselines,Infosys offers Metaverse Foundry services,0.87
